,Unnamed: 0,text,sentiment,classification,clean_text
1,1, SAD Sooo I will miss you here in San Diego!!!,negative,0.0,sad sooo miss san diego
2,2,my boss is bullying me...,negative,0.0,bos bullying
3,3, what interview! me leave alone,negative,0.0,interview leave alone
4,4," Sons of ****, why couldn`t they put them on the releases we already bought",negative,0.0,son couldnt put release already bought
6,6,2am feedings for the baby are fun when he is all smiles and coos,positive,1.0,feeding baby fun smile coo
9,9, Journey!? Wow... u became just cooler.  hehe... (is that possible!?),positive,1.0,journey wow u became cooler hehe possible
11,11,I really really like the song Love Story by Swift Taylor,positive,1.0,really really like song love story swift taylor
12,12,My Sharpie is running DANGERously low on ink,negative,0.0,sharpie running dangerously low ink
13,13,i want to go to music tonight but i my lost voice.,negative,0.0,want go music tonight lost voice
15,15,"oh, Uh I am sunburned",negative,0.0,oh uh sunburned
16,16," S`ok, trying to plot alternatives as we speak *sigh*",negative,0.0,sok trying plot alternative speak sigh
17,17,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would http://tinyurl.com/mnf4kw look...",negative,0.0,ive sick past day thus hair look wierd didnt hat would httptinyurlcommnfkw look
18,18,is back home now      gonna miss every one,negative,0.0,back home gonna miss every one
21,21,Ghost Playing Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,1.0,ghost playing online really interesting new update kirin pet metamorph third job cant wait dragon pet
25,25,"the free app fillin` on my ipod is fun, im addicted",positive,1.0,free app fillin ipod fun im addicted
26,26,  I`m sorry.,negative,0.0,im sorry
27,27,On the way to Malaysia...no internet to access Twit,negative,0.0,way malaysiano internet access twit
28,28,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,1.0,juss came backk berkeleyy omg madd fun havent minute whassqoodd
29,29,Went to sleep and there is a power cut in Noida  back Power up not working too,negative,0.0,went sleep power cut noida back power working
30,30,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive,1.0,im going home seen new twitter design quiteheavenly
31,31,i hope unni will make the audition . fighting unni dahye !,positive,1.0,hope unni make audition fighting unni dahye
32,32, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,0.0,consolation got bmi tested hahaha say obesed well much unhappy minute
33,33, That`s very funny. Cute  kids.,positive,1.0,thats funny cute kid
36,36,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,0.0,born raised nyc living texas past year still miss ny
