,text,sentiment,classification,clean_text
1, Sooo SAD I will miss you here in San Diego!!!,negative,0.0,sooo sad miss san diego
2,my boss is bullying me...,negative,0.0,bos bullying
3, what interview! leave me alone,negative,0.0,interview leave alone
4," Sons of ****, why couldn`t they put them on the releases we already bought",negative,0.0,son couldnt put release already bought
6,2am feedings for the baby are fun when he is all smiles and coos,positive,1.0,feeding baby fun smile coo
9, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive,1.0,journey wow u became cooler hehe possible
11,I really really like the song Love Story by Taylor Swift,positive,1.0,really really like song love story taylor swift
12,My Sharpie is running DANGERously low on ink,negative,0.0,sharpie running dangerously low ink
13,i want to go to music tonight but i lost my voice.,negative,0.0,want go music tonight lost voice
15,"Uh oh, I am sunburned",negative,0.0,uh oh sunburned
16," S`ok, trying to plot alternatives as we speak *sigh*",negative,0.0,sok trying plot alternative speak sigh
17,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative,0.0,ive sick past day thus hair look wierd didnt hat would look httptinyurlcommnfkw
18,is back home now      gonna miss every one,negative,0.0,back home gonna miss every one
21,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,1.0,playing ghost online really interesting new update kirin pet metamorph third job cant wait dragon pet
25,"the free fillin` app on my ipod is fun, im addicted",positive,1.0,free fillin app ipod fun im addicted
26,  I`m sorry.,negative,0.0,im sorry
27,On the way to Malaysia...no internet access to Twit,negative,0.0,way malaysiano internet access twit
28,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,1.0,juss came backk berkeleyy omg madd fun havent minute whassqoodd
29,Went to sleep and there is a power cut in Noida  Power back up not working too,negative,0.0,went sleep power cut noida power back working
30,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive,1.0,im going home seen new twitter design quiteheavenly
31,i hope unni will make the audition . fighting dahye unni !,positive,1.0,hope unni make audition fighting dahye unni
32, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,0.0,consolation got bmi tested hahaha say obesed well much unhappy minute
33, That`s very funny.  Cute kids.,positive,1.0,thats funny cute kid
36,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,0.0,born raised nyc living texas past year still miss ny
38,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,0.0,im soooooo sleeeeepy last day school todaysniffle
39,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive,1.0,little happy wine jeje ok itsm free time care jaja love day
41,im an avid fan of **** magazine and i love your magazines,positive,1.0,im avid fan magazine love magazine
44, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive,1.0,love im available pm dear would love help convert vidsï ½
46,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,0.0,egh blah boooooooooooo dunno wanna go work hangover suckkkkkk im drunk mess
