,text,sentiment
0," I`d have responded, if I were going",neutral
1, SAD Sooo I will miss you here in San Diego!!!,negative
2,my boss is bullying me...,negative
3, what interview! me leave alone,negative
4," Sons of ****, why couldn`t they put them on the releases we already bought",negative
5,http://www.dothebouncy.com/smf - shameless some plugging for the best Rangers forum on earth,neutral
6,2am feedings for the baby are fun when he is all smiles and coos,positive
7,high Soooo,neutral
8, Both of you,neutral
9, Journey!? Wow... u became just cooler.  hehe... (is that possible!?),positive
10," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral
11,I really really like the song Love Story by Swift Taylor,positive
12,My Sharpie is running DANGERously low on ink,negative
13,i want to go to music tonight but i my lost voice.,negative
14,test test from the LG enV2,neutral
15,"oh, Uh I am sunburned",negative
16," S`ok, trying to plot alternatives as we speak *sigh*",negative
17,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would http://tinyurl.com/mnf4kw look...",negative
18,is back home now      gonna miss every one,negative
19,just Hes not that into you,neutral
20," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral
21,Ghost Playing Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive
22,is cleaning the house for her family who is comming later today..,neutral
23,gotta restart my computer .. I thought Win7 was supposed to put an end the to constant rebootiness,neutral
24,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral
25,"the free app fillin` on my ipod is fun, im addicted",positive
26,  I`m sorry.,negative
27,On the way to Malaysia...no internet to access Twit,negative
28,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive
29,Went to sleep and there is a power cut in Noida  back Power up not working too,negative
30,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive
31,i hope unni will make the audition . fighting unni dahye !,positive
32, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative
33, That`s very funny. Cute  kids.,positive
34," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
35,"Thats it, its end. the Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral
36,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative
37,"just in case you wonder, we are really busy and today this coming with with adding tons of new blogs and updates stay tuned",neutral
38,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
39,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i this love day",positive
40," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral
41,im an avid fan of magazine **** and i love your magazines,positive
42,MAYDAY?!,neutral
43,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN 80`S THE THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral
44, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive
45,The girl in the hair salon asked me 'Shall I trim your How eyebrows!' old do I feel?,neutral
46,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative
47,my :visiting friendster and facebook,neutral
48,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative
49,which  case? I got a new one last week and I`m not thrilled at all with mine.,negative
50, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral
51," also bored at school, its my third freelesson( ) freistunde",neutral
52, hm... Both of us I guess...,neutral
53,it  is ****...u have dissappointed me that past few days,negative
54, romance zero is funny,positive
55, I`d rather do the early I run..but am a morning runner,neutral
56,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative
57,will back be later.  http://plurk.com/p/rp3k7,neutral
58,Aw. Torn ace of hearts  #Hunchback,negative
59, what are fun you speaking of?,neutral
60,"i lost all my friends, i`m alone and sleepy..i wanna go home",negative
61,haha  yes,neutral
62,I give in to easily,negative
63,What better way to mum spoil than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive
64,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative
65,Is a at photoshoot.,neutral
66,  He`s awesome... Have you worked with him before? He`s a good friend.,positive
67,Yay playing a show tonight! it`s Boo gonna soggy and I`m at work right before playing,neutral
68,Chilliin,positive
69," If know you such agent, do let me know",neutral
70,I still smell of smoke  #kitchenfire,neutral
71, a celtics-lakers rematch sounds don`t better you think? lol,positive
72,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral
73,"'you can ride one, you can catch one, but its not summer you til pop open one'  ?",neutral
74, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral
75,OK - I`m out of here for now. popped Just in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral
76,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative
77,My  sources say no,neutral
78,I am sooo tired,negative
79," you Hey, change your twitter account, and you didn`t even tell me...",neutral
80, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
81, lucky kid...i so wanna see loserville  im pity in oz....,positive
