,text,sentiment
0," I`d have responded, if I were going",neutral
1, Sooo SA I will miss you here in San Diego!!!,negative
2,my boss is bullying me...,negative
3, what interview! leave me alonnne,negative
4," Sons of ****, why couldn`t they put them on the releases we already bought",negative
5,htttp://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral
6,2am feedings for the baby are fun when he is all smiles and coos,positive
7, Both of you,neutral
8, Jrney!? Wow... u just became cooler.  hehe... (is that possible!?),positive
9," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral
10,I reall really like the song Love Story by Taylor Swift,positive
11,My Sharpie is running DANGERously low on ink,negative
12,i want to go to mmusic tonight but i lost my voice.,negative
13,test test from the LG enV2,neutral
14,"U oh, I am sunburned",negative
15," S`ok, trying to plot alternatives as we speak *sigh*",negative
16,"i`ve bees sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative
17,is back home now      gonna miss every one,negative
18,Heust not that into you,neutral
19," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral
20,Playing Ghost Onlene is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive
21,is cleaning the house for her family who is comming later today..,neutral
22,gotta restart my computer .. I thought Win7 was supposed to put an ennd to the constant rebootiness,neutral
23,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral
24,"the fr e fillin` app on my ipod is fun, im addicted",positive
25,  I`m sorry.,negative
26,On the way to Malaysiaa...no internet access to Twit,negative
27,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive
28,Went  o sleep and there is a power cut in Noida  Power back up not working too,negative
29,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive
30,i hopenunni will make the audition . fighting dahye unni !,positive
31, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative
32, That`s very funny.  Cute kiids.,positive
33," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
34,"Thatts it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral
35,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative
36,"just in case uou wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral
37,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
38,"A little happy fot the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive
39," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral
40,im aa avid fan of **** magazine and i love your magazines,positive
41,MAYDAY?!,neutral
42,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IIN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral
43, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive
44,The girl in the hair salon aaaasked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
45,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative
46,ivisiting my friendster and facebook,neutral
47,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative
48, whichacase? I got a new one last week and I`m not thrilled at all with mine.,negative
49, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral
50," also bored at school, its my third freelesson( freistunnnde )",neutral
51, hm... Both of us I guess...,neutral
52, it is ****...u have dissappointed me that past few days,negative
53, romance zero is funny,positive
54, I`d rar do the early run..but I am a morning runner,neutral
55,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative
56,ll be back later.  http://plurk.com/p/rp3k7,neutral
57,Aw. Torn ace of hearts  #Hunchback,negative
58, what fun are you speaking offff?,neutral
59,"i lost all my friends, i`m alone and sleepy..i wanna go home",negative
60,I give in to easily,negative
61,What better way to spoi mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive
62,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative
63,Isat a photoshoot.,neutral
