,Unnamed: 0,text,sentiment,classification,clean_text
1,1, Sooo SA I will miss you here in San Diego!!!,negative,0.0,sooo sa miss san diego
2,2,my boss is bullying me...,negative,0.0,bos bullying
3,3, what interview! leave me alonnne,negative,0.0,interview leave alonnne
4,4," Sons of ****, why couldn`t they put them on the releases we already bought",negative,0.0,son couldnt put release already bought
6,6,2am feedings for the baby are fun when he is all smiles and coos,positive,1.0,feeding baby fun smile coo
8,8, Jrney!? Wow... u just became cooler.  hehe... (is that possible!?),positive,1.0,jrney wow u became cooler hehe possible
10,10,I reall really like the song Love Story by Taylor Swift,positive,1.0,reall really like song love story taylor swift
11,11,My Sharpie is running DANGERously low on ink,negative,0.0,sharpie running dangerously low ink
12,12,i want to go to mmusic tonight but i lost my voice.,negative,0.0,want go mmusic tonight lost voice
14,14,"U oh, I am sunburned",negative,0.0,u oh sunburned
15,15," S`ok, trying to plot alternatives as we speak *sigh*",negative,0.0,sok trying plot alternative speak sigh
16,16,"i`ve bees sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative,0.0,ive bee sick past day thus hair look wierd didnt hat would look httptinyurlcommnfkw
17,17,is back home now      gonna miss every one,negative,0.0,back home gonna miss every one
20,20,Playing Ghost Onlene is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,1.0,playing ghost onlene really interesting new update kirin pet metamorph third job cant wait dragon pet
24,24,"the fr e fillin` app on my ipod is fun, im addicted",positive,1.0,fr e fillin app ipod fun im addicted
25,25,  I`m sorry.,negative,0.0,im sorry
26,26,On the way to Malaysiaa...no internet access to Twit,negative,0.0,way malaysiaano internet access twit
27,27,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,1.0,juss came backk berkeleyy omg madd fun havent minute whassqoodd
28,28,Went  o sleep and there is a power cut in Noida  Power back up not working too,negative,0.0,went sleep power cut noida power back working
29,29,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive,1.0,im going home seen new twitter design quiteheavenly
30,30,i hopenunni will make the audition . fighting dahye unni !,positive,1.0,hopenunni make audition fighting dahye unni
31,31, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,0.0,consolation got bmi tested hahaha say obesed well much unhappy minute
32,32, That`s very funny.  Cute kiids.,positive,1.0,thats funny cute kiids
35,35,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,0.0,born raised nyc living texas past year still miss ny
37,37,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,0.0,im soooooo sleeeeepy last day school todaysniffle
38,38,"A little happy fot the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive,1.0,little happy fot wine jeje ok itsm free time care jaja love day
40,40,im aa avid fan of **** magazine and i love your magazines,positive,1.0,im aa avid fan magazine love magazine
43,43, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive,1.0,love im available pm dear would love help convert vidsï ½
45,45,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,0.0,egh blah boooooooooooo dunno wanna go work hangover suckkkkkk im drunk mess
47,47,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative,0.0,donbt like peel prawn also dont like going shopping running money crawling round car looking
48,48, whichacase? I got a new one last week and I`m not thrilled at all with mine.,negative,0.0,whichacase got new one last week im thrilled mine
52,52, it is ****...u have dissappointed me that past few days,negative,0.0,u dissappointed past day
53,53, romance zero is funny,positive,1.0,romance zero funny
55,55,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative,0.0,bah coworker ran work late bag smacked knee really hurt
57,57,Aw. Torn ace of hearts  #Hunchback,negative,0.0,aw torn ace heart hunchback
59,59,"i lost all my friends, i`m alone and sleepy..i wanna go home",negative,0.0,lost friend im alone sleepyi wanna go home
60,60,I give in to easily,negative,0.0,give easily
61,61,What better way to spoi mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive,1.0,better way spoi mum let kick back relax nice meal bottle favorite wine wine red
62,62,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative,0.0,mannnn got iphone im jealous httpbitlyngnar
64,64,  He`s awesome... Have you worked with him before? He`s a good friend.,positive,1.0,he awesome worked he good friend
66,66,Chilliin,positive,1.0,chilliin
69,69, a celtics-lakers rematch sounds better don`t you thinkk? lol,positive,1.0,celticslakers rematch sound better dont thinkk lol
74,74,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative,0.0,wow really missin family today baddd
76,76,I am sooo tired,negative,0.0,sooo tired
78,78, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,1.0,thank yyyyyyyyyoooooooooouuuuu
79,79, lucky kid...i so wanna see loservillee  pity im in oz....,positive,1.0,lucky kidi wanna see loservillee pity im oz
81,81,Sick With a flu like thing.,negative,0.0,sick flu like thing
82,82,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,0.0,still reply simfinger problem irape parody video get response sorry guy
83,83,Happy atar Wars day everyone! and Enjoy the holiday (UK),positive,1.0,happy atar war day everyone enjoy holiday uk
86,86,i miss you bby      wish you were going tomorrow to make me do good.,negative,0.0,miss bby wish going tomorrow make good
87,87, Welw what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive,1.0,welw im working isnt quite ready post publicly still beta testing cool new script coded
88,88, SWEEEEET - San Fran is awesome!!!!  Love it there,positive,1.0,sweeeeet san fran awesome love
91,91,waiting for sleeping pills to kick in... gonnnnna be so tired at work tomorrow,negative,0.0,waiting sleeping pill kick gonnnnna tired work tomorrow
93,93,Happpy Mothers day to all you Mums out there,positive,1.0,happpy mother day mum
94,94," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative,0.0,caseys gone piddled little carpet shes prolly freaked cause new get back
95,95, hemplcloth is marvelous but unfortunately no,negative,0.0,hemplcloth marvelous unfortunately
97,97, We saw that in noooone 3D - the baddie`s the best,positive,1.0,saw noooone baddie best
98,98,4am. And Im on the beach. Pretty,positive,1.0,im beach pretty
100,100,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,0.0,week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces starting emerge hand ouch
101,101,i realy wanted to go out cause its so nice but everyyybodys busy,negative,0.0,realy wanted go cause nice everyyybodys busy
102,102, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive,1.0,awesome im ocean beach know way yourbiggestfan im real big fan
105,105, haha I do not know hw to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive,1.0,haha know hw work blip apart obvious thanks reblipping song nice day
106,106, have a safe trip joshy poo.......you`ll knock them dead at your speech,positive,1.0,safe trip joshy pooyoull knock dead speech
107,107, wo I wish I was allowed to go,positive,1.0,wo wish allowed go
110,110,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,1.0,thank afrin nasal spray also got giant teacup tonight
112,112,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,1.0,aww love daddy work day week almost day still try go sf u
113,113,So many tests todayyy  I don`t feellll confident about anyy.,negative,0.0,many test todayyy dont feellll confident anyy
114,114,graduation is done  im a little sad.. anyone want to hang out???,negative,0.0,graduation done im little sad anyone want hang
115,115,ahahaa your awesomee !,positive,1.0,ahahaa awesomee
116,116,holy smokes! star trek was freaking awesomeeeee,positive,1.0,holy smoke star trek freaking awesomeeeee
120,120,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative,0.0,looking forward next week math geography english french exam totalling hour
121,121," Pooroyou  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,0.0,pooroyou get outside sleep garden sun good dont forget suncream
122,122,not well,negative,0.0,well
123,123, Not a prob huun,positive,1.0,prob huun
126,126, hey aia!  totally adore your music.  when will your cd be out?,positive,1.0,hey aia totally adore music cd
127,127,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,1.0,shopping cleaning bmfing webcam chatting nephew nothing spesh good bank holiday monday nonetheless
128,128,  O you need to ask him something? Lmao I love him too,positive,1.0,need ask something lmao love
129,129, those splinters look very painful...but you were being very heroic saving mr. Pickle,negative,0.0,splinter look painfulbut heroic saving mr pickle
130,130, yhy are you sad?,negative,0.0,yhy sad
131,131, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive,1.0,nice see tweeting sunday th may celebrating mother day today nice yer mom
132,132,decided 2 tra s frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,1.0,decided tra frm relaxed natural hair wish whole head looked like root age instant gratification
136,136,"missedlall the awesome weather, because she was in a movie!",negative,0.0,missedlall awesome weather movie
138,138,"These kidss are terrible! If I was in Good Evans, I`d call Childline",negative,0.0,kid terrible good evans id call childline
139,139,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,0.0,unfortunatley aerlingus longer fly copenhagen fly ryanair billund drive copenhagen one day
140,140," ahat`s sad is that I actually had to google that term. That sucks, tho.",negative,0.0,ahats sad actually google term suck tho
141,141,Hate fighting,negative,0.0,hate fighting
143,143,Car-warmed Sprite tastes like sore throat,negative,0.0,carwarmed sprite taste like sore throat
145,145,Candle wax is very enjoyable.,positive,1.0,candle wax enjoyable
146,146," She`s unassing and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive,1.0,shes unassing unpretentious shes suppose thats shes endearingbecause relate
148,148,goooooddd mnrning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive,1.0,goooooddd mnrning tweet week three workout mention got new glass yesterday
149,149, me too. I hate my computer so much..,negative,0.0,hate computer much
150,150, fine! Going to do my big waaaalk today 20 or so miles,positive,1.0,fine going big waaaalk today mile
151,151,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative,0.0,want red cruiser dont like one lmfao
155,155,Bugger. forgot I still have washing in my machine,negative,0.0,bugger forgot still washing machine
156,156,"_Laurie seiding love, blessings & healing thoughts to you & family  peace",positive,1.0,laurie seiding love blessing healing thought family peace
157,157,My back hurts...really bad,negative,0.0,back hurtsreally bad
160,160,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutttal,negative,0.0,modem offline week god bless g network tim left may schedule brutttal
162,162, Had parent teacher thing yesterday!! So borinnnng going to skl on saturday!!  lol,negative,0.0,parent teacher thing yesterday borinnnng going skl saturday lol
163,163,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive,1.0,lichfield tweetup sound like fun hope see everyone else
165,165,Few Bevvies 2day in twn..great on a day off!!,positive,1.0,bevvies day twngreat day
166,166,first nightnin myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive,1.0,first nightnin myers wout lydia im actually excited summer
167,167, good morning,positive,1.0,good morning
168,168, it the best show EVER!,positive,1.0,best show ever
169,169,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,0.0,url previous post timer job httpbitlyafdb id removed space messed url e
172,172,or en NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative,0.0,en nooooo secret namerebecca please
173,173, I miss my neice  can`t wait to see her bad n grown ****! Lol,negative,0.0,miss neice cant wait see bad n grown lol
175,175,really hopes her car`s illness is not terminal...,negative,0.0,really hope car illness terminal
178,178,oho watched X-men origins: wolverine? i totally loved it! haha,positive,1.0,oho watched xmen origin wolverine totally loved haha
179,179, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,1.0,voted u personal myspace keep talking fake u helped thru hrdest time life x
180,180, I`m sad that I mmmissed you guys last night!,negative,0.0,im sad mmmissed guy last night
183,183,todays the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative,0.0,today last day high school ended going home sick stupid dead rat
185,185,lost my tooth 2dayyy whilst i was eating gum...oww,negative,0.0,lost tooth dayyy whilst eating gumoww
186,186,happy 1 year! <3,positive,1.0,happy year
187,187,"Oh, IELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,1.0,oh iella forgot say official good morning like hear go goooooooooooood morrrrrrrrning twitterville lol
189,189,  WWHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,0.0,wwhat vote every day
190,190,I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,0.0,im starving diet killing cant eat pm
192,192,im soo bored...im deffo missing my music channels,negative,0.0,im soo boredim deffo missing music channel
193,193, niteinite bday girl  have fun at concert,positive,1.0,niteinite bday girl fun concert
196,196,should be sleeping.  lost my voice a couple day ago.,negative,0.0,sleeping lost voice couple day ago
197,197,http:witpic.com/66xlm -  hate when my PARKED car gets hit,negative,0.0,httpwitpiccomxlm hate parked car get hit
200,200,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative,0.0,creeper feel disappointed cyberstalking skill internet privacy
201,201,going t bed its late and I have headache,negative,0.0,going bed late headache
202,202,happy mother`s day to all moms out there...,positive,1.0,happy mother day mom
204,204,im thinking that im going to have fun tonight....and maybe some changes are coming,positive,1.0,im thinking im going fun tonightand maybe change coming
206,206," Haha I know, I cant handle the fame!  and thank you!",positive,1.0,haha know cant handle fame thank
208,208, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive,1.0,yes sober hahaha tanghaling tapat dude haha wild dont knowwww plan plan go u
209,209, Wever miss ICarly - my son has a huge crush on Miranda,positive,1.0,wever miss icarly son huge crush miranda
213,213,Fleling smooth like chrome,positive,1.0,fleling smooth like chrome
214,214,Ew traffic,negative,0.0,ew traffic
